gap_id,gap_category,gap_type,coverage_priority,description,kenya_context,who_essential_services,coverage_analysis,clinical_integration,interventions,implementation,detection_method,analysis_type,pdf_page_sources,validation_ready,discovered_at,run_number,unique_id
COVERAGE_SERVICE_01,service_category,Primary care NCD screening & longitudinal management gap,HIGH,"Systemic under-provision of routine screening, diagnosis and structured long-term follow-up for hypertension, diabetes and COPD at Level 2–3 primary care facilities. Most cases are diagnosed late or only at hospital admission, increasing morbidity and admissions.","{'service_delivery_platform': 'Level 2-3 (dispensaries, health centres), Level 4 for complicated cases', 'population_impact': 'Adults in rural and peri-urban areas, low-income urban informal settlement residents', 'geographic_scope': 'Nationwide; lowest effective coverage in northern and arid counties, and informal settlements in Nairobi/Mombasa', 'current_coverage_level': 'Estimated 30%'}","Preventive and curative NCD services (screening, basic diagnostics, chronic care)","{'service_availability': 'Limited', 'geographic_accessibility': 'Limited', 'financial_accessibility': 'Limited (out-of-pocket for tests/medicines common)', 'quality_adequacy': 'Suboptimal (poor follow-up, stock-outs of medicines)'}","Complements clinical gaps (e.g., cardiovascular rehab) by addressing upstream detection and continuous care rather than post-acute rehabilitation.","{'immediate_coverage_expansion': ['Implement routine NCD screening protocols at all Level 2–3 facilities', 'Supply point-of-care devices (glucometers, BP machines) and essential medicines stock buffer', 'Train primary care staff on NCD case management and registries'], 'service_integration_opportunities': ['Integrate NCD screening into maternal/child clinics, HIV/TB platforms and outreach days', 'Use CHVs for community-based screening and follow-up'], 'infrastructure_requirements': ['Basic diagnostic kits and medicine supply chain strengthening', 'Paper/electronic NCD registers interoperable with county HMIS']}","{'county_integration': 'Counties adopt standard NCD package for all Level 2–3 facilities and budget for essential medicines; integrate into county annual workplans.', 'funding_mechanisms': 'Primary Healthcare Fund for supplies and training; SHIF for defined outpatient chronic disease benefit; county recurrent budgets for medicines.', 'timeline_realistic': '12-24 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.558555,20,GAP_039
COVERAGE_SERVICE_02,service_category,Essential diagnostic laboratory network gap,HIGH,"Inadequate geographic distribution and functionality of essential lab services (CBC, rapid tests, biochemistry, microbiology) at primary and county levels; referral testing pathways are inconsistent and slow.","{'service_delivery_platform': 'Level 2-4 facilities (most affected Level 2-3)', 'population_impact': 'Rural populations, counties with sparse lab networks (Northern frontier counties)', 'geographic_scope': 'Significant gaps in arid and remote counties (Mandera, Wajir, Turkana), pockets in informal urban settlements', 'current_coverage_level': 'Estimated 40%'}",Diagnostic services (laboratory and basic imaging),"{'service_availability': 'Limited', 'geographic_accessibility': 'Poor in remote areas', 'financial_accessibility': 'Limited (costs passed to patients where public services deficient)', 'quality_adequacy': 'Suboptimal (maintenance issues, QA not universal)'}",Supports clinical gaps such as pneumonia and cancer diagnosis but focuses on accessibility and network reliability rather than disease-specific protocols.,"{'immediate_coverage_expansion': ['Deploy tiered laboratory package to Level 2–4 with POCT and hub-and-spoke referral testing', 'Strengthen sample transport systems and result turnaround using SMS/e-referral'], 'service_integration_opportunities': ['Link lab services with HIV/TB, maternal health and NCD platforms for shared resources', 'Use private lab partnerships under SHIF contracting in underserved counties'], 'infrastructure_requirements': ['Cold chain and reagent supply management, maintenance contracts', 'County-level central labs with specimen transport vehicles']}","{'county_integration': 'Counties formalize lab network plans, allocate PHC Fund to POCT and transport, set SLAs with central labs.', 'funding_mechanisms': 'Primary Healthcare Fund for POCT and transport; SHIF reimbursements for tests; county recurrent budgets for maintenance.', 'timeline_realistic': '18-36 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.585697,20,GAP_040
COVERAGE_SERVICE_03,service_category,Rehabilitative services (general) gap,HIGH,"Limited availability of physiotherapy, occupational therapy, community-based rehabilitation, prosthetics and assistive devices across levels; services concentrated in urban tertiary centres.","{'service_delivery_platform': 'Level 2-5 (most services currently at Level 4-6)', 'population_impact': 'People with disabilities, post-surgical patients, stroke survivors, elderly', 'geographic_scope': 'Urban concentration (Nairobi, Mombasa, Kisumu); large rural deficits across counties', 'current_coverage_level': 'Estimated 25%'}",Rehabilitative services,"{'service_availability': 'Absent to limited', 'geographic_accessibility': 'Poor', 'financial_accessibility': 'Expensive (out-of-pocket for private therapists)', 'quality_adequacy': 'Varies; many facilities lack trained personnel'}","Differs from single-condition clinical rehab gaps (e.g., cardiovascular rehabilitation) by covering cross-cutting rehabilitation needs and assistive devices.","{'immediate_coverage_expansion': ['Train and deploy mid-level rehab cadres at Level 3–4', 'Establish community-based rehabilitation teams linked to CHVs'], 'service_integration_opportunities': ['Integrate rehab assessments into discharge planning for surgical and medical admissions', 'Coordinate with disability services and social protection schemes'], 'infrastructure_requirements': ['Basic rehab equipment at county hospitals and selected health centres', 'Production/ procurement channels for low-cost assistive devices']}","{'county_integration': 'Counties include rehab services in county health strategic plans and partner with NGOs for capacity building.', 'funding_mechanisms': 'Primary Healthcare Fund for community rehab; SHIF to reimburse facility-based rehab services; donor/NGO bridge funding for device supply.', 'timeline_realistic': '24-48 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.611752,20,GAP_041
COVERAGE_POPULATION_04,population_group,Adolescent-friendly SRH and mental health services gap,HIGH,"Insufficient adolescent-tailored sexual and reproductive health (SRH) services, substance use counselling and integrated mental health support; cultural and access barriers reduce utilization.","{'service_delivery_platform': 'Level 1-3 (community and primary care), school-based platforms', 'population_impact': 'Adolescents (10–19 years), particularly in informal settlements and marginalized groups', 'geographic_scope': 'Nationwide; hotspots in urban slums and pastoralist communities with poor youth services', 'current_coverage_level': 'Estimated 35%'}",Preventive and mental health services for adolescents,"{'service_availability': 'Limited', 'geographic_accessibility': 'Limited for out-of-school and remote adolescents', 'financial_accessibility': 'Moderate but hindered by social barriers', 'quality_adequacy': 'Suboptimal (lack of adolescent-specific training)'}",Relates to mental health services but narrows focus to adolescent needs and SRH integration rather than general adult mental health.,"{'immediate_coverage_expansion': ['Establish adolescent-friendly corners at Level 2–3 facilities and schools', 'Train providers on youth-friendly SRH and mental health screening'], 'service_integration_opportunities': ['Link SRH, HIV testing, substance use counselling and mental health referral pathways', 'Use CHVs and peer educators for outreach'], 'infrastructure_requirements': ['Private consultation space, youth-friendly IEC materials, telehealth helplines']}","{'county_integration': 'Counties incorporate adolescent services into county integrated reproductive health strategies; partner with education sector.', 'funding_mechanisms': 'PHC Fund for facility set-up; SHIF for reimbursable services; partnerships with donors for training.', 'timeline_realistic': '12-24 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.639753,20,GAP_042
COVERAGE_POPULATION_05,population_group,Geriatric and long-term care services gap,MEDIUM,"Limited availability of age-appropriate clinical pathways, long-term care, dementia diagnosis and caregiver support at primary and county levels.","{'service_delivery_platform': 'Level 2-4 (with specialist support at Level 5-6)', 'population_impact': 'Elderly population (60+), caregivers', 'geographic_scope': 'Nationwide; increasing need in urbanizing counties with aging households', 'current_coverage_level': 'Estimated 20%'}",Chronic and long-term care services for older adults,"{'service_availability': 'Limited', 'geographic_accessibility': 'Limited', 'financial_accessibility': 'Expensive for long-term needs', 'quality_adequacy': 'Poor (few trained geriatric providers)'}",Complements chronic disease management gaps by addressing continuity of care and social support needs for older adults rather than disease-specific treatment.,"{'immediate_coverage_expansion': ['Develop geriatric assessment protocols for primary care', 'Establish community caregiver support programs'], 'service_integration_opportunities': ['Integrate geriatric screening into NCD and home-care services', 'Leverage CHV home visits for dependency assessments'], 'infrastructure_requirements': ['Training modules for health workers, assistive devices stocks, referral linkages']}","{'county_integration': 'Counties to pilot integrated geriatric services in high-need sub-counties and include in county budgets.', 'funding_mechanisms': 'PHC Fund for community support; SHIF to pilot reimbursements for geriatric consultations.', 'timeline_realistic': '24-36 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.662850,20,GAP_043
COVERAGE_POPULATION_06,population_group,Services for people with disabilities (inclusive care) gap,HIGH,"Insufficient integration of disability screening, referral, assistive devices and inclusive facility design into routine services; social and economic barriers persist.","{'service_delivery_platform': 'Level 1-4 (community outreach to county hospitals)', 'population_impact': 'Persons with disabilities, caregivers, school-aged children with developmental disabilities', 'geographic_scope': 'Nationwide; rural and conflict-affected counties worse', 'current_coverage_level': 'Estimated 20%'}",Rehabilitative and disability-inclusive services,"{'service_availability': 'Absent to limited', 'geographic_accessibility': 'Poor', 'financial_accessibility': 'Limited', 'quality_adequacy': 'Suboptimal'}","Related to rehabilitative services but emphasizes accessibility, assistive devices and inclusion across all programs rather than clinical rehab only.","{'immediate_coverage_expansion': ['Audit and adapt facilities for basic accessibility', 'Provide assistive devices through county procurement and vouchers'], 'service_integration_opportunities': ['Include disability screening in maternal/child, NCD and immunization programs', 'Link with social protection and education services'], 'infrastructure_requirements': ['Accessible toilets/ramps, procurement channels for assistive devices, training for health workers']}","{'county_integration': 'County disability focal points to coordinate health, social and education sectors; include device budgets.', 'funding_mechanisms': 'PHC Fund for facility adaptations; SHIF through defined benefits for assistive devices; county grants.', 'timeline_realistic': '24-48 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.689294,20,GAP_044
COVERAGE_CARELEVEL_07,care_level,Primary care emergency and basic surgical capacity gap,HIGH,"Level 3 health centres often lack 24/7 basic emergency obstetric, trauma and surgical stabilization capacity (e.g., suturing, wound care, basic anaesthesia), causing delays and overload of referral hospitals.","{'service_delivery_platform': 'Level 3 (health centres) and some Level 4', 'population_impact': 'Rural populations needing immediate stabilization; accident victims; pregnant women with complications', 'geographic_scope': 'Widespread, with acute deficits in remote counties', 'current_coverage_level': 'Estimated 35%'}",Emergency care and basic surgical services,"{'service_availability': 'Limited', 'geographic_accessibility': 'Limited in rural areas', 'financial_accessibility': 'Variable; emergency costs may be OOP without SHIF coverage clarity', 'quality_adequacy': 'Suboptimal (staffing and equipment gaps)'}",Complements EmONC clinical gap by focusing on facility capacity at Level 3 for broader emergency stabilization beyond obstetrics.,"{'immediate_coverage_expansion': ['Equip and certify selected Level 3 facilities for 24/7 basic emergency stabilization', 'Deploy surgical and anaesthesia task-sharing programs (non-physician clinicians)'], 'service_integration_opportunities': ['Integrate emergency care training into county CME and include in SHIF contracting as a paid service package', 'Use referral networks with clear transport SOPs'], 'infrastructure_requirements': ['Minor theatre upgrades, reliable power and water, essential emergency drugs and blood storage', 'Ambulance/transport arrangements']}","{'county_integration': 'Counties select Level 3 hubs for upgrading, assign staff and include operating costs in budgets.', 'funding_mechanisms': 'Emergency, Chronic and Critical Illness Fund and PHC Fund for upgrades; SHIF reimbursements for emergency stabilization.', 'timeline_realistic': '12-36 months'}",ai_coverage_analysis,comprehensive_coverage,"['Pages 1-18 (Policy Structure)', 'Pages 19-54 (Annex Procedures)']",True,2025-08-27T22:02:49.723107,20,GAP_045
COVERAGE_CARELEVEL_08,care_level,Referral system and prehospital care (ambulance) gap,HIGH,"Fragmented referral pathways, weak communication between levels, and sparse ambulance/pre-hospital coverage result in delays and poor outcomes for time-sensitive conditions.","{'service_delivery_platform': 'Across Levels 1-6, emphasis on Level 2-4 referrals to Level 4-6', 'population_impact': 'Patients with emergencies (trauma, obstetric emergencies, acute medical conditions) especially in rural areas', 'geographic_scope': 'Nationwide; worst in low-density frontier counties', 'current_coverage_level': 'Estimated 30%'}",Emergency care systems and referral transport,"{'service_availability': 'Limited', 'geographic_accessibility': 'Poor in remote counties', 'financial_accessibility': 'Expensive where private transport is used', 'quality_adequacy': 'Suboptimal (no standardized triage or handover protocols)'}",Supports EmONC and trauma care clinical gaps by addressing system-level referral and transport rather than facility clinical capabilities alone.,"{'immediate_coverage_expansion': ['Establish county-level referral coordination centers and 24/7 dispatch lines', 'Equip and strategically base ambulances; train prehospital teams'], 'service_integration_opportunities': ['Use private ambulance contracts under SHIF/PHC Fund for unreachable areas', 'Integrate with police/fire and community transport schemes'], 'infrastructure_requirements': ['Dispatch centres, GPS-enabled ambulances, interoperable referral IT platform']}","{'county_integration': 'Counties develop referral SOPs, map transport assets, and include ambulance services in service packages.', 'funding_mechanisms': 'PHC Fund for community transport and referral coordination; SHIF to reimburse ambulance transfers under emergency benefits; county budgets.', 'timeline_realistic': '12-36 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.749523,20,GAP_046
COVERAGE_GEOGRAPHIC_09,geographic_access,Northern & arid county service deserts,HIGH,"Persistent service deserts in northern and arid counties with low facility density, poor staffing, insecure supply chains and weak outreach leading to very low service coverage.","{'service_delivery_platform': 'All levels, with particular absence at Level 2-3', 'population_impact': 'Pastoralist communities in Mandera, Wajir, Garissa, Turkana and northern Marsabit', 'geographic_scope': 'Specific regional disparity: Northern frontier, ASAL counties', 'current_coverage_level': 'Estimated 15%'}","All WHO categories disproportionately affected (preventive, curative, emergency)","{'service_availability': 'Absent to very limited', 'geographic_accessibility': 'Poor (long travel distances, insecurity)', 'financial_accessibility': 'Limited', 'quality_adequacy': 'Poor'}",Intersects with rural access to specialists but emphasizes systemic inequity across all services rather than specialty concentration in urban areas.,"{'immediate_coverage_expansion': ['Mobile outreach clinics and temporary health camps targeted to pastoralist routes', 'Incentive packages for clinicians to work in remote counties'], 'service_integration_opportunities': ['Integrate veterinary-public health outreach (One Health) and school health programs for efficiency', 'Use telemedicine links with county/national referral hospitals'], 'infrastructure_requirements': ['Solar power, water supply, mobile clinic vehicles, communication equipment']}","{'county_integration': 'Counties develop outreach schedules with community leaders and integrate into county resource allocation.', 'funding_mechanisms': 'PHC Fund for outreach; SHIF to recognise mobile/outreach services as reimbursable; donor/NGO co-financing.', 'timeline_realistic': '6-24 months (mobile); 24-60 months for permanent facility improvements'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.778720,20,GAP_047
COVERAGE_GEOGRAPHIC_10,geographic_access,Urban poor/informal settlement service access and quality gap,HIGH,"High population density and facility congestion in informal settlements create access barriers, long wait times and variable quality of care; many rely on unregulated private providers.","{'service_delivery_platform': 'Level 2-4 facilities serving urban informal settlements; private clinics', 'population_impact': 'Residents of slums in Nairobi, Mombasa, Kisumu, Eldoret', 'geographic_scope': 'Urban informal settlements nationwide', 'current_coverage_level': 'Estimated 45% effective coverage (services present but variable quality)'}","Primary care, maternal and child services, infectious disease control in urban settings","{'service_availability': 'Available but overstretched', 'geographic_accessibility': 'Accessible but crowded', 'financial_accessibility': 'Mixed (some services subsidized but private care common)', 'quality_adequacy': 'Suboptimal'}","Differs from rural specialist access gap; focuses on urban service capacity, regulation, and quality improvement rather than physical distance.","{'immediate_coverage_expansion': ['Strengthen primary care clinics in slums with increased staffing and extended hours', 'Accredit and contract reputable private clinics under SHIF to expand supply'], 'service_integration_opportunities': ['Mobile clinics, community outreach and school-based services for preventive care', 'Partner with community-based organizations for demand generation'], 'infrastructure_requirements': ['Expanded clinic space, sanitation improvements, digital appointment systems']}","{'county_integration': 'Counties map informal settlements, fast-track upgrades and SHIF contracting for approved private providers.', 'funding_mechanisms': 'SHIF to reimburse contracted private clinics; PHC Fund for public facility expansion; county resources.', 'timeline_realistic': '12-36 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T22:02:49.846811,20,GAP_048
